iter	Passed	Remaining
0	15	15301
1	29	14680
2	44	14794
3	57	14431
4	70	14127
5	85	14120
6	136	19362
7	167	20759
8	188	20717
9	209	20747
10	228	20572
11	244	20116
12	258	19606
13	273	19265
14	286	18827
15	299	18427
16	312	18050
17	325	17742
18	336	17398
19	349	17149
20	362	16908
21	376	16735
22	388	16511
23	401	16318
24	414	16146
25	427	16012
26	441	15896
27	455	15795
28	468	15689
29	482	15587
30	495	15485
31	510	15444
32	525	15397
33	540	15348
34	553	15266
35	568	15211
36	583	15182
37	598	15158
38	618	15245
39	653	15686
40	685	16027
41	709	16178
42	724	16127
43	741	16118
44	758	16086
45	772	16030
46	825	16728
47	842	16715
48	858	16671
49	875	16631
50	890	16578
51	907	16552
52	924	16518
53	941	16486
54	957	16454
55	972	16398
56	996	16491
57	1023	16627
58	1046	16683
59	1073	16822
60	1091	16805
61	1105	16730
62	1120	16658
63	1132	16569
64	1146	16492
65	1164	16473
66	1179	16418
67	1194	16370
68	1209	16320
69	1224	16263
70	1240	16230
71	1257	16201
72	1273	16170
73	1287	16114
74	1302	16067
75	1319	16045
76	1334	15991
77	1348	15944
78	1364	15911
79	1379	15866
80	1394	15815
81	1410	15789
82	1424	15742
83	1444	15749
84	1459	15712
85	1474	15672
86	1491	15655
87	1507	15619
88	1521	15577
89	1537	15542
90	1550	15489
91	1563	15434
92	1576	15378
93	1590	15331
94	1604	15281
95	1616	15222
96	1629	15170
97	1643	15124
98	1656	15078
99	1670	15030
100	1683	14983
101	1697	14943
102	1711	14908
103	1725	14866
104	1739	14827
105	1753	14786
106	1766	14742
107	1784	14738
108	1805	14755
109	1819	14720
110	1834	14693
111	1846	14643
112	1862	14617
113	1876	14587
114	1892	14567
115	1913	14584
116	1931	14575
117	1946	14546
118	1963	14537
119	1978	14511
120	1995	14493
121	2010	14469
122	2027	14452
123	2046	14457
124	2072	14506
125	2089	14495
126	2104	14464
127	2119	14437
128	2134	14409
129	2147	14369
130	2161	14338
131	2175	14303
132	2189	14269
133	2202	14233
134	2216	14205
135	2229	14162
136	2242	14128
137	2258	14104
138	2271	14072
139	2285	14038
140	2298	14002
141	2310	13957
142	2323	13925
143	2339	13905
144	2353	13879
145	2371	13870
146	2387	13853
147	2402	13828
148	2416	13800
149	2428	13764
150	2441	13729
151	2455	13698
152	2468	13666
153	2481	13630
154	2493	13596
155	2507	13565
156	2520	13535
157	2535	13510
158	2549	13482
159	2562	13450
160	2575	13420
161	2589	13394
162	2603	13368
163	2616	13338
164	2628	13304
165	2641	13272
166	2654	13241
167	2668	13215
168	2681	13185
169	2694	13154
170	2707	13124
171	2730	13143
172	2748	13139
173	2766	13130
174	2781	13112
175	2796	13091
176	2810	13067
177	2822	13036
178	2835	13007
179	2849	12979
180	2861	12949
